idno,Event,Site,Date,Round,WhitePlayer,BlackPlayer,Result,WhiteELO,BlackELO,ECO,WhiteRooks7th,BlackRooks7th,Caro,Slav
82180870, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Duberger, -1, ?, ?, C29, 0, 0, 0, 0, 
67746532, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Beaubien C., 1, ?, ?, C40, 0, 0, 0, 0, 
59026315, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Cartier A., -1, ?, ?, A91, 0, 0, 0, 0, 
28087041, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, B06, 0, 0, 0, 0, 
73447031, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Paquin JC., 1, ?, ?, C10, 0, 0, 0, 0, 
48663395, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Robertson DC., 0, ?, ?, C50, 0, 0, 0, 0, 
38076765, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Saunders D., -1, ?, ?, B29, 0, 0, 0, 0, 
73869726, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Sawyer J., 1, ?, ?, D15, 0, 0, 0, 0, 
95879073, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Schwartz, 1, ?, ?, C01, 0, 0, 0, 0, 
34635908, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Wilson SB., 0, ?, ?, D66, 0, 0, 0, 0, 
24954234, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Mc Arthur, 0, ?, ?, D66, 0, 0, 0, 0, 
58680092, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Marechal G., 1, ?, ?, D02, 0, 0, 0, 1, 
58638868, Montreal sim, Montreal, 1923.??.??, ?, Alekhine Alexander, Winfrey W., 1, ?, ?, C28, 0, 0, 0, 0, 
70595619, New York sim, New York, 1923.??.??, ?, Alekhine Alexander, Samuels, 1, ?, ?, D02, 0, 0, 0, 0, 
63484424, New York sim, New York, 1923.??.??, ?, Alekhine Alexander, Schroeder A., 1, ?, ?, D26, 0, 0, 0, 0, 
79710786, New York sim, New York, 1923.??.??, ?, Alekhine Alexander, Johnston, 1, ?, ?, D06, 0, 0, 0, 0, 
35070363, New York sim, New York, 1923.??.??, ?, Alekhine Alexander, Bigelow Horace Ransom, 1, ?, ?, B13, 0, 0, 0, 0, 
18892801, New York sim, New York, 1923.??.??, ?, Alekhine Alexander, Parker, -1, ?, ?, A53, 0, 0, 0, 0, 
73686459, New York sim, New York, 1923.??.??, ?, Alekhine Alexander, Le Count FJ., 1, ?, ?, C68, 0, 0, 0, 0, 
41626853, Paris m, Paris, 1923.??.??, 1, Alekhine Alexander, Muffang Andre, 1, ?, ?, D34, 0, 0, 0, 0, 
94205359, Paris m, Paris, 1923.??.??, 2, Muffang Andre, Alekhine Alexander, -1, ?, ?, C02, 0, 0, 0, 0, 
42107211, New York, New York, 1924.??.??, ?, Reti Richard, Alekhine Alexander, 1, ?, ?, A48, 0, 0, 0, 0, 
5938151, New York, New York, 1924.??.??, ?, Tartakower Saviely, Alekhine Alexander, 0, ?, ?, C33, 0, 0, 0, 0, 
29467205, New York, New York, 1924.??.??, ?, Maroczy Geza, Alekhine Alexander, -1, ?, ?, B02, 0, 0, 0, 0, 
58377437, New York, New York, 1924.??.??, ?, Marshall Frank James, Alekhine Alexander, 0, ?, ?, D35, 0, 0, 0, 0, 
3784908, New York, New York, 1924.??.??, ?, Yates Frederick, Alekhine Alexander, -1, ?, ?, C76, 0, 0, 0, 0, 
49759907, New York, New York, 1924.??.??, ?, Lasker Emanuel, Alekhine Alexander, 0, ?, ?, A48, 0, 0, 0, 0, 
91252103, New York, New York, 1924.??.??, ?, Capablanca Jose Raul, Alekhine Alexander, 0, ?, ?, C12, 0, 0, 0, 0, 
31115827, New York, New York, 1924.??.??, ?, Lasker Edward, Alekhine Alexander, 0, ?, ?, C78, 0, 0, 0, 0, 
52244781, New York, New York, 1924.??.??, ?, Janowsky Dawid Markelowicz, Alekhine Alexander, -1, ?, ?, A48, 0, 0, 0, 0, 
70284819, New York, New York, 1924.??.??, ?, Bogoljubow Efim, Alekhine Alexander, 0, ?, ?, C15, 0, 0, 1, 0, 
5194486, New York, New York, 1924.??.??, ?, Alekhine Alexander, Yates Frederick, 1, ?, ?, E76, 0, 0, 0, 0, 
41266247, New York, New York, 1924.??.??, ?, Alekhine Alexander, Tartakower Saviely, 0, ?, ?, C46, 0, 0, 0, 0, 
10568985, New York, New York, 1924.??.??, ?, Alekhine Alexander, Reti Richard, 1, ?, ?, E62, 0, 0, 0, 0, 
16289638, New York, New York, 1924.??.??, ?, Alekhine Alexander, Marshall Frank James, 0, ?, ?, E76, 0, 0, 0, 0, 
99924123, New York, New York, 1924.??.??, ?, Alekhine Alexander, Maroczy Geza, 0, ?, ?, D55, 0, 0, 0, 0, 
64092806, New York, New York, 1924.??.??, ?, Alekhine Alexander, Lasker Emanuel, -1, ?, ?, D35, 0, 0, 0, 0, 
27161695, New York, New York, 1924.??.??, ?, Alekhine Alexander, Lasker Edward, 0, ?, ?, E76, 0, 0, 0, 0, 
24428627, New York, New York, 1924.??.??, ?, Alekhine Alexander, Janowsky Dawid Markelowicz, 1, ?, ?, A53, 0, 0, 0, 0, 
72419025, New York, New York, 1924.??.??, ?, Alekhine Alexander, Capablanca Jose Raul, 0, ?, ?, D10, 0, 0, 0, 0, 
60426523, New York, New York, 1924.??.??, ?, Alekhine Alexander, Bogoljubow Efim, 0, ?, ?, A13, 0, 0, 0, 0, 
82274868, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Fox Maurice, 0, ?, ?, C01, 0, 0, 0, 0, 
36915097, USA tour sim, USA, 1924.??.??, ?, Johnson AG., Alekhine Alexander, 1, ?, ?, D52, 0, 0, 0, 0, 
90729644, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Barlow JM., 0, ?, ?, D02, 0, 0, 0, 0, 
74785040, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Sharp ST., -1, ?, ?, C42, 0, 0, 0, 0, 
13939900, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Widmer E., -1, ?, ?, C26, 0, 0, 0, 0, 
22762149, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Wark Jake, 1, ?, ?, C26, 0, 0, 0, 0, 
2367571, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Lavelle HP., 0, ?, ?, D06, 0, 0, 0, 0, 
61812626, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Root WL., 0, ?, ?, C01, 0, 0, 0, 0, 
74368310, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Morrison John Stuart, 1, ?, ?, C26, 0, 0, 0, 0, 
72014488, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Casciato F., 1, ?, ?, C01, 0, 0, 0, 0, 
51725618, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Gale SE., 0, ?, ?, C41, 0, 0, 0, 0, 
60494430, USA tour sim, USA, 1924.??.??, ?, Walter, Alekhine Alexander, -1, ?, ?, C78, 0, 0, 0, 0, 
6451378, USA tour sim, USA, 1924.??.??, ?, Alekhine Alexander, Downman JY., 1, ?, ?, C25, 0, 0, 0, 0, 
4648593, Baden-Baden, Baden-Baden, 1925.??.??, ?, Spielmann Rudolf, Alekhine Alexander, 0, ?, ?, C47, 0, 0, 0, 0, 
17806516, Baden-Baden, Baden-Baden, 1925.??.??, ?, Reti Richard, Alekhine Alexander, -1, ?, ?, A00, 0, 0, 0, 0, 
43886793, Baden-Baden, Baden-Baden, 1925.??.??, ?, Rosselli del Turco Stefano, Alekhine Alexander, 0, ?, ?, C25, 0, 0, 0, 0, 
86178838, Baden-Baden, Baden-Baden, 1925.??.??, ?, Mieses Jacques, Alekhine Alexander, -1, ?, ?, B02, 0, 0, 0, 0, 
9219591, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Yates Frederick, 1, ?, ?, D63, 0, 0, 0, 0, 
49814548, Baden-Baden, Baden-Baden, 1925.??.??, ?, Nimzowitsch Aaron , Alekhine Alexander, -1, ?, ?, A25, 0, 0, 0, 0, 
96310287, Baden-Baden, Baden-Baden, 1925.??.??, ?, Tarrasch Siegbert, Alekhine Alexander, -1, ?, ?, C53, 0, 0, 0, 0, 
6463110, Baden-Baden, Baden-Baden, 1925.??.??, ?, Tartakower Saviely, Alekhine Alexander, 0, ?, ?, E18, 0, 0, 0, 0, 
43931516, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Colle Edgar, 1, ?, ?, D07, 0, 0, 0, 0, 
49398681, Baden-Baden, Baden-Baden, 1925.??.??, ?, Torre Repetto Carlos, Alekhine Alexander, 0, ?, ?, A31, 0, 0, 0, 0, 
95134314, Baden-Baden, Baden-Baden, 1925.??.??, ?, Bogoljubow Efim, Alekhine Alexander, 0, ?, ?, C11, 0, 0, 0, 0, 
81605870, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Saemisch Fritz, 1, ?, ?, A31, 0, 0, 0, 0, 
55332073, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Treybal Karel, 1, ?, ?, D67, 0, 0, 0, 0, 
59652081, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Te Kolste Jan Willem, 1, ?, ?, D48, 0, 0, 0, 0, 
51432765, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Marshall Frank James, 1, ?, ?, D06, 0, 0, 0, 0, 
65644687, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Rubinstein Akiba, 0, ?, ?, D30, 0, 0, 0, 0, 
36986405, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Rabinovich Ilya Leontievich, 1, ?, ?, A52, 0, 0, 0, 0, 
99640140, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Gruenfeld Ernst, 0, ?, ?, D06, 0, 0, 0, 0, 
58523974, Baden-Baden, Baden-Baden, 1925.??.??, ?, Alekhine Alexander, Carls Carl Johan Margot, 0, ?, ?, D79, 0, 0, 0, 0, 
83017593, Baden-Baden, Baden-Baden, 1925.??.??, ?, Thomas George Alan, Alekhine Alexander, -1, ?, ?, B02, 0, 0, 0, 0, 
47442829, Basel sim, Basel, 1925.??.??, ?, Voellmy Erwin, Alekhine Alexander, 1, ?, ?, C12, 0, 0, 0, 0, 
73485925, Basel sim, Basel, 1925.??.??, ?, Alekhine Alexander, Henneberger Walter, 1, ?, ?, D63, 0, 0, 0, 0, 
65563489, Basel sim, Basel, 1925.??.??, ?, Alekhine Alexander, Meck K., 1, ?, ?, C84, 0, 0, 0, 0, 
75041130, Basel sim, Basel, 1925.??.??, ?, Michel Walter, Alekhine Alexander, 1, ?, ?, D38, 0, 0, 0, 0, 
99870137, Basel sim, Basel, 1925.??.??, ?, NN, Alekhine Alexander, -1, ?, ?, A03, 0, 0, 0, 0, 
24935602, Basel sim, Basel, 1925.??.??, ?, Alekhine Alexander, Henneberger Moriz, 1, ?, ?, C01, 0, 0, 0, 0, 
52888534, Basel sim, Basel, 1925.??.??, ?, Zimmermann Otto, Alekhine Alexander, -1, ?, ?, D06, 0, 0, 0, 0, 
18152567, Bern, Bern, 1925.??.??, 1, Michel Walter, Alekhine Alexander, 1, ?, ?, D04, 0, 0, 1, 0, 
83233550, Bern, Bern, 1925.??.??, 2, Alekhine Alexander, Naegeli Oskar, 1, ?, ?, D46, 0, 0, 0, 0, 
33315553, Bern, Bern, 1925.??.??, 3, Aurbach Arnold, Alekhine Alexander, 0, ?, ?, B02, 0, 0, 0, 0, 
81255209, Bern, Bern, 1925.??.??, 4, Alekhine Alexander, Michel Walter, 1, ?, ?, D60, 0, 0, 0, 0, 
78529092, Bern, Bern, 1925.??.??, 5, Naegeli Oskar, Alekhine Alexander, -1, ?, ?, E30, 0, 0, 0, 0, 
28877321, Bern, Bern, 1925.??.??, 6, Alekhine Alexander, Aurbach Arnold, 0, ?, ?, C11, 0, 0, 0, 0, 
68853715, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Gilg Karl, -1, ?, ?, C77, 0, 0, 0, 0, 
44176097, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Genttner J., 0, ?, ?, D52, 0, 0, 0, 0, 
83962547, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Dusek A., 1, ?, ?, C28, 0, 0, 0, 0, 
24384743, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Hain J., -1, ?, ?, D12, 0, 0, 0, 0, 
58523017, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Hajek, 0, ?, ?, C41, 0, 0, 0, 0, 
85981052, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Glockner, 1, ?, ?, C68, 0, 0, 0, 0, 
50231969, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Hofhans F., 1, ?, ?, D66, 0, 0, 0, 0, 
60650451, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Kadora, 0, ?, ?, D55, 0, 0, 0, 0, 
52526501, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Havlicek F., 1, ?, ?, C30, 0, 0, 0, 0, 
52725830, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Kralicek, -1, ?, ?, A52, 0, 0, 0, 0, 
93848978, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Krcmery Stefan, 0, ?, ?, B01, 0, 0, 0, 0, 
95023583, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Kondr, 1, ?, ?, B01, 0, 0, 0, 0, 
12525163, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Mach, -1, ?, ?, B07, 0, 1, 0, 0, 
80297862, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Nechutny, 0, ?, ?, B34, 0, 0, 0, 0, 
58936320, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Loewy Leopold Jr, 1, ?, ?, C78, 0, 0, 0, 0, 
58352329, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Novak Jaromir, 1, ?, ?, B27, 0, 0, 0, 0, 
30344935, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Stephan Anna, 1, ?, ?, D06, 0, 0, 0, 0, 
9325771, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Nedvidek, -1, ?, ?, C14, 0, 0, 0, 0, 
3609162, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Friedmann O., Alekhine Alexander, 1, ?, ?, D50, 0, 0, 0, 0, 
95256027, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Kracmar J., Alekhine Alexander, 1, ?, ?, A52, 0, 0, 0, 0, 
29260180, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Vecsey Zoltan, 0, ?, ?, B30, 0, 0, 0, 0, 
98221499, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Pytlik J., Alekhine Alexander, 1, ?, ?, D64, 0, 0, 0, 0, 
98551566, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Salomonowitz J., Alekhine Alexander, -1, ?, ?, C78, 0, 0, 0, 0, 
28055551, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Prochazka V., Alekhine Alexander, 0, ?, ?, C47, 0, 0, 0, 0, 
20198794, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Vaclavik J., Alekhine Alexander, 1, ?, ?, A55, 0, 0, 0, 0, 
30365871, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Vavrinsky J., Alekhine Alexander, -1, ?, ?, B01, 0, 0, 0, 0, 
23696850, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Stehlik, Alekhine Alexander, 1, ?, ?, C44, 0, 0, 0, 0, 
21605559, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Cisar, 1, ?, ?, B54, 0, 0, 0, 0, 
16339836, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Bestak, 1, ?, ?, D08, 0, 0, 0, 0, 
47149187, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Bania R., 1, ?, ?, E76, 0, 0, 0, 0, 
24350751, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Abrahamer, Alekhine Alexander, -1, ?, ?, C50, 0, 0, 0, 0, 
95595218, CSR tour sim, Czechoslovakia, 1925.??.??, ?, Alekhine Alexander, Benes B., 1, ?, ?, A43, 0, 0, 0, 0, 
34530086, Geneve sim, Geneve, 1925.??.??, ?, Alekhine Alexander, Lommer Harold, 0, ?, ?, D13, 0, 0, 0, 0, 
85087820, Geneve sim, Geneve, 1925.??.??, ?, Alekhine Alexander, Hermann P., 1, ?, ?, C21, 0, 0, 0, 0, 
36214949, Geneve sim, Geneve, 1925.??.??, ?, Alekhine Alexander, Grigorieff W., 1, ?, ?, D48, 0, 0, 0, 0, 
69576420, Geneve sim, Geneve, 1925.??.??, ?, Alekhine Alexander, Preiswerk W., 0, ?, ?, C30, 0, 0, 0, 0, 
68810378, Geneve sim, Geneve, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C49, 0, 0, 0, 0, 
53501947, Geneve sim, Geneve, 1925.??.??, ?, Alekhine Alexander, Ormond JL., 0, ?, ?, C14, 0, 0, 0, 0, 
22752505, Hastings, Hastings, 1925.??.??, ?, Alekhine Alexander, Seitz Jakob Adolf, 1, ?, ?, A52, 0, 0, 0, 0, 
86404603, Hastings, Hastings, 1925.??.??, 1, Alekhine Alexander, Michell Reginald Pryce, 1, ?, ?, D67, 0, 0, 0, 0, 
66364489, Hastings, Hastings, 1925.??.??, 2, Alekhine Alexander, Wahltuch Victor L, 1, ?, ?, D53, 0, 0, 0, 0, 
93789882, Hastings, Hastings, 1925.??.??, 4, Vidmar Milan Sr, Alekhine Alexander, 0, ?, ?, E38, 0, 0, 0, 0, 
67682266, Hastings, Hastings, 1925.??.??, 7, Norman K., Alekhine Alexander, -1, ?, ?, E23, 0, 0, 0, 0, 
10626976, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 0, ?, ?, D20, 0, 0, 0, 0, 
97381799, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D00, 0, 0, 0, 0, 
13814419, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C37, 0, 0, 0, 0, 
56019716, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C01, 0, 0, 0, 0, 
36299006, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D03, 0, 0, 0, 0, 
68656376, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C68, 0, 0, 0, 0, 
10661285, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, B40, 0, 0, 0, 0, 
51715644, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C62, 0, 0, 0, 0, 
81091670, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D02, 0, 0, 0, 0, 
7208417, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, B02, 0, 0, 0, 0, 
75470855, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, A21, 0, 0, 0, 0, 
15869086, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, -1, ?, ?, D05, 0, 0, 0, 0, 
36965734, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C30, 0, 0, 0, 0, 
34366642, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C00, 0, 0, 0, 0, 
4649231, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D52, 0, 0, 0, 0, 
8829496, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 0, ?, ?, C25, 0, 0, 0, 0, 
66155541, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D32, 0, 0, 0, 0, 
21206417, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, B20, 0, 0, 0, 0, 
46208567, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 0, ?, ?, D02, 0, 0, 0, 0, 
94010150, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C64, 0, 0, 0, 0, 
38150920, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C29, 0, 0, 0, 0, 
18361166, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D06, 0, 0, 0, 0, 
35230326, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, B13, 0, 0, 0, 0, 
34366642, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, C00, 0, 0, 0, 0, 
97897002, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, -1, ?, ?, D00, 0, 0, 0, 0, 
81058258, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D21, 0, 0, 0, 0, 
73135284, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, -1, ?, ?, B62, 0, 0, 0, 0, 
18361166, Paris sim, Paris, 1925.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, D06, 0, 0, 0, 0, 
51595004, Paris, Paris, 1925.??.??, 1, Colle Edgar, Alekhine Alexander, -1, ?, ?, D50, 0, 0, 0, 0, 
73907140, Paris, Paris, 1925.??.??, 2, Alekhine Alexander, Tartakower Saviely, 0, ?, ?, D27, 0, 0, 0, 0, 
41749629, Paris, Paris, 1925.??.??, 3, Znosko Borovsky Eugene , Alekhine Alexander, 0, ?, ?, B03, 0, 0, 0, 0, 
36321879, Paris, Paris, 1925.??.??, 5, Alekhine Alexander, Opocensky Karel, 1, ?, ?, D10, 0, 0, 0, 0, 
47202131, Paris, Paris, 1925.??.??, 6, Alekhine Alexander, Colle Edgar, 1, ?, ?, D07, 0, 0, 0, 0, 
44562260, Paris, Paris, 1925.??.??, 7, Tartakower Saviely, Alekhine Alexander, 0, ?, ?, C45, 0, 0, 0, 0, 
6348316, Paris, Paris, 1925.??.??, 8, Alekhine Alexander, Znosko Borovsky Eugene , 1, ?, ?, E62, 0, 0, 0, 0, 
84992069, Paris, Paris, 1925.??.??, 10, Opocensky Karel, Alekhine Alexander, -1, ?, ?, C01, 0, 0, 0, 0, 
62560248, Amsterdam m2, Amsterdam, 1926.??.??, 1, Alekhine Alexander, Euwe Max, 0, ?, ?, C86, 0, 0, 0, 0, 
69617572, Amsterdam m2, Amsterdam, 1926.??.??, 2, Euwe Max, Alekhine Alexander, -1, ?, ?, E21, 0, 0, 0, 0, 
88011900, Amsterdam m2, Amsterdam, 1926.??.??, 3, Alekhine Alexander, Euwe Max, 1, ?, ?, E88, 0, 0, 0, 0, 
96706997, Amsterdam m2, Amsterdam, 1926.??.??, 4, Euwe Max, Alekhine Alexander, 0, ?, ?, C11, 0, 1, 0, 0, 
61324762, Amsterdam m2, Amsterdam, 1926.??.??, 5, Alekhine Alexander, Euwe Max, 0, ?, ?, D30, 0, 0, 0, 0, 
99510701, Amsterdam m2, Amsterdam, 1926.??.??, 6, Euwe Max, Alekhine Alexander, 0, ?, ?, E34, 0, 0, 0, 0, 
79469545, Amsterdam m2, Amsterdam, 1926.??.??, 7, Alekhine Alexander, Euwe Max, -1, ?, ?, D34, 0, 0, 0, 0, 
5249489, Amsterdam m2, Amsterdam, 1926.??.??, 8, Euwe Max, Alekhine Alexander, 1, ?, ?, A09, 0, 0, 0, 0, 
41425402, Amsterdam m2, Amsterdam, 1926.??.??, 9, Alekhine Alexander, Euwe Max, 0, ?, ?, B83, 0, 0, 0, 0, 
62386941, Amsterdam m2, Amsterdam, 1926.??.??, 10, Euwe Max, Alekhine Alexander, -1, ?, ?, A90, 0, 0, 0, 0, 
88914548, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Menendez Julio, -1, ?, ?, E10, 0, 0, 0, 0, 
65137390, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Mirlas Luis, 1, ?, ?, E16, 0, 0, 0, 0, 
65243749, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Molina Raul, 1, ?, ?, C21, 0, 0, 0, 0, 
81458769, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Lerner Colman, 1, ?, ?, B13, 0, 0, 0, 0, 
43242324, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Machado Julio, -1, ?, ?, D53, 0, 0, 0, 0, 
49576620, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Molina Raul, -1, ?, ?, E12, 0, 0, 0, 0, 
44614110, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, NN, 1, ?, ?, B18, 0, 0, 0, 0, 
17950510, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Perez Gomar Gregorio, -1, ?, ?, E12, 0, 0, 0, 0, 
81015107, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Piacentini Jorge, 1, ?, ?, D38, 0, 0, 0, 0, 
42972123, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Portela Carlos, 1, ?, ?, D30, 0, 0, 0, 0, 
6722619, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Portela Carlos, 1, ?, ?, B20, 0, 0, 0, 0, 
4212755, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Reca Damian, 1, ?, ?, E14, 0, 0, 0, 0, 
53936744, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Segovia F., 1, ?, ?, B44, 0, 0, 0, 0, 
53343105, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Israel Alfredo, 1, ?, ?, C21, 0, 0, 0, 0, 
35626171, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Carranza Leopoldo, Alekhine Alexander, -1, ?, ?, C79, 0, 0, 0, 0, 
22889270, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Ibanez Enrique, Alekhine Alexander, -1, ?, ?, E14, 0, 0, 0, 0, 
28753522, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Ibanez Enrique, Alekhine Alexander, -1, ?, ?, A52, 0, 0, 0, 0, 
7298740, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Alekhine Alexander, Ilija Rolando, 1, ?, ?, D46, 0, 0, 0, 0, 
46829135, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Lynch Julio, Alekhine Alexander, -1, ?, ?, B42, 0, 0, 0, 0, 
11843701, Buenos Aires exh, Buenos Aires, 1926.??.??, ?, Nolmann H., Alekhine Alexander, -1, ?, ?, C78, 0, 0, 0, 0, 
